id,timestamp,temperature,humidity,pressure,altitude,dew_point,air_quality,dust_density,pm25
1,2025-03-08 16:32:27,27.59,39.59,1007.12,51.16,12.6,1.09,2.33,7815.91
2,2025-03-08 16:32:32,27.65,39.54,1007.15,50.9,12.63,1.08,13.29,44659.9
3,2025-03-08 16:32:37,27.67,39.54,1007.15,50.94,12.65,1.07,14.76,49591.7
4,2025-03-08 16:32:42,27.7,39.98,1007.16,50.93,12.85,1.05,21.09,70866.5
5,2025-03-08 16:32:47,27.72,39.86,1007.14,50.97,12.82,1.05,15.54,52202.7
6,2025-03-08 16:32:52,27.75,39.9,1007.2,50.51,12.86,1.07,13.15,44176.4
7,2025-03-08 16:32:57,27.79,40.36,1007.17,50.78,13.08,1.05,14.93,50172.0
8,2025-03-08 16:33:02,27.8,39.62,1007.17,50.78,12.8,1.04,14.99,50365.4
9,2025-03-08 16:33:07,27.8,39.47,1007.2,50.48,12.74,1.05,16.03,53846.7
10,2025-03-08 16:33:12,27.82,39.39,1007.19,50.61,12.73,1.04,15.05,50558.8
11,2025-03-08 16:33:17,27.81,39.48,1007.17,50.78,12.76,1.02,12.89,43306.0
12,2025-03-08 16:33:22,27.79,39.36,1007.18,50.67,12.69,1.02,15.57,52299.4
13,2025-03-08 16:33:27,27.77,39.63,1007.15,50.92,12.78,1.02,16.49,55393.9
14,2025-03-08 16:33:32,27.76,40.14,1007.19,50.54,12.96,1.02,14.82,49785.1
15,2025-03-08 16:33:37,27.79,40.88,1007.21,50.44,13.27,1.04,17.46,58681.9
16,2025-03-08 16:33:43,27.77,40.1,1007.2,50.52,12.96,1.01,16.43,55200.5
17,2025-03-08 16:33:47,27.81,40.59,1007.18,50.63,13.18,1.01,17.41,58488.4
18,2025-03-08 16:33:53,27.83,40.0,1007.2,50.48,12.97,1.01,14.64,49204.9
19,2025-03-08 16:33:58,27.84,39.85,1007.16,50.85,12.92,1.01,14.24,47851.1
20,2025-03-08 16:34:03,27.87,41.04,1007.14,51.01,13.4,1.04,17.84,59939.0
21,2025-03-08 16:34:08,27.85,39.87,1007.15,50.93,12.94,1.02,15.25,51235.7
22,2025-03-08 16:34:13,27.88,39.85,1007.19,50.59,12.96,0.99,15.97,53653.3
23,2025-03-08 16:34:18,27.89,39.78,1007.13,51.02,12.94,0.99,14.9,50075.2
24,2025-03-08 16:34:23,27.9,39.62,1007.15,50.91,12.89,0.98,15.62,52492.8
25,2025-03-08 16:34:28,27.89,39.72,1007.15,50.91,12.92,0.99,16.49,55393.9
26,2025-03-08 16:34:33,27.91,40.97,1007.13,51.04,13.41,0.99,15.62,52492.8
27,2025-03-08 16:34:38,27.9,40.4,1007.15,50.91,13.19,0.99,14.7,49398.3
28,2025-03-08 16:34:43,27.92,41.44,1007.13,51.05,13.6,0.98,15.22,51139.0
29,2025-03-08 16:34:48,27.91,39.93,1007.12,51.13,13.02,0.99,16.89,56747.8
30,2025-03-08 16:34:53,27.92,39.81,1007.15,50.9,12.98,0.99,12.51,42048.9
31,2025-03-08 16:34:58,27.93,40.39,1007.12,51.17,13.21,0.98,16.89,56747.8
32,2025-03-08 16:35:04,27.93,40.03,1007.12,51.14,13.08,0.97,16.6,55780.8
33,2025-03-08 16:35:08,27.91,39.71,1007.13,51.1,12.93,0.97,13.38,44950.0
34,2025-03-08 16:35:13,27.91,39.6,1007.14,50.95,12.89,0.98,13.18,44273.1
35,2025-03-08 16:35:19,27.93,39.53,1007.1,51.3,12.88,0.97,16.95,56941.2
36,2025-03-08 16:35:23,27.96,39.47,1007.11,51.23,12.89,0.97,15.51,52106.0
37,2025-03-08 16:35:29,27.93,39.74,1007.09,51.39,12.96,0.96,15.62,52492.8
38,2025-03-08 16:35:34,27.92,39.9,1007.11,51.26,13.02,0.97,13.84,46497.2
39,2025-03-08 16:35:39,27.9,39.61,1007.14,50.96,12.89,0.97,16.31,54813.7
40,2025-03-08 16:35:44,27.89,39.7,1007.14,50.99,12.91,0.97,15.97,53653.3
41,2025-03-08 16:35:49,27.9,39.66,1007.13,51.07,12.9,0.97,18.27,61389.5
42,2025-03-08 16:35:54,27.93,39.77,1007.11,51.23,12.97,0.97,14.53,48818.1
43,2025-03-08 16:35:59,27.94,39.65,1007.14,51.03,12.94,0.97,14.47,48624.7
44,2025-03-08 16:36:05,27.95,39.44,1007.1,51.31,12.86,0.97,14.07,47270.9
45,2025-03-08 16:36:09,27.96,39.38,1007.13,51.05,12.85,0.97,12.74,42822.5
46,2025-03-08 16:36:14,27.99,39.46,1007.14,51.03,12.91,0.97,15.85,53266.5
47,2025-03-08 16:36:19,28.01,39.49,1007.08,51.46,12.94,0.97,16.66,55974.2
48,2025-03-08 16:36:24,28.02,39.52,1007.13,51.09,12.96,0.93,22.3,74928.0
49,2025-03-08 16:36:30,27.96,39.29,1007.11,51.24,12.81,0.96,14.62,49108.2
50,2025-03-08 16:36:35,27.92,39.53,1007.12,51.12,12.87,0.96,17.87,60035.7
51,2025-03-08 16:36:39,27.92,39.68,1007.12,51.18,12.93,0.95,15.1,50752.2
52,2025-03-08 16:36:44,27.89,39.47,1007.13,51.09,12.82,0.94,15.62,52492.8
53,2025-03-08 16:36:50,27.87,39.39,1007.09,51.4,12.77,0.95,16.34,54910.4
54,2025-03-08 16:36:55,27.88,39.48,1007.11,51.21,12.82,0.95,17.7,59455.5
55,2025-03-08 16:37:00,27.91,40.15,1007.12,51.13,13.1,0.95,16.54,55587.3
56,2025-03-08 16:37:05,27.93,40.08,1007.13,51.1,13.09,0.94,14.5,48721.4
